date,location,dead person,hurt person,field3
102年01月01日 21時17分,新北市土城區延壽路42巷5號前0.0公尺數,1,0,普通重型-機車;自用-小客車;自用-小貨車;動力機械-其他車
102年01月02日 01時36分,新北市坪林區國道五號19公里100公尺處南向內側車道,1,0,自用-小貨車
102年01月06日 06時16分,新北市中和區中和路前0.0公尺數中山路(口),1,0,計程車-小客車;行人-人
102年01月10日 17時50分,新北市五股區成泰路一段98巷前0.0公尺數1613號路燈前(附近),1,0,自用-大貨車;普通重型-機車
102年01月12日 06時45分,新北市三芝區淡金公路前0.0公尺數16公里處(臺2(附近),1,0,普通重型-機車
102年01月17日 05時13分,新北市五股區成泰路三段17號前0.0公尺數,1,0,普通重型-機車;自用-小客車;普通輕型-機車;自用-小客車
102年01月26日 08時05分,新北市土城區裕民路259巷前0.0公尺數口(附近),1,0,普通重型-機車;營業用-曳引車
102年01月27日 07時20分,新北市中和區中正路前0.0公尺數連城路(口),1,0,自用-小客車;行人-人
102年01月30日 13時21分,新北市汐止區大同路609號前0.0公尺數對向(往基隆方向(附近),1,0,營業用-半聯結車;普通重型-機車;自用-小客車
102年02月02日 10時30分,新北市貢寮區吉林產業道路前0.0公尺數1.1公里(附近),1,1,普通重型-機車;普通重型-機車
102年02月06日 11時08分,新北市五股區疏洪一路前0.0公尺數0K+700處(附近),1,0,普通輕型-機車;自用-小貨車
102年02月08日 13時59分,新北市鶯歌區尖山路86號前0.0公尺數,1,0,自用-小客車
102年02月12日 07時32分,新北市林口區無名路前0.0公尺數北77-1縣道無(附近),1,0,自用-小客車
102年02月15日 09時53分,新北市林口區西濱快速道路前0.0公尺數台15線北上17(附近),1,0,普通重型-機車
102年02月16日 10時37分,新北市新莊區新樹路331號前0.0公尺數,1,1,普通重型-機車;行人-人
102年02月22日 06時02分,新北市淡水區中正東路二段143巷2弄前0.0公尺數,1,2,普通重型-機車;普通重型-機車;普通重型-機車
102年02月23日 06時34分,新北市蘆洲區三民路前0.0公尺數環堤大道路(口),1,2,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車
102年02月23日 18時09分,新北市泰山區楓江路前0.0公尺數25巷口(泰山所(附近),1,1,普通重型-機車;普通重型-機車
102年02月23日 23時10分,新北市板橋區雙十路二段134號前0.0公尺數,1,0,普通重型-機車
102年02月25日 00時22分,新北市林口區文化一路一段前0.0公尺數忠孝路(口)口(附近),1,0,普通重型-機車;自用-小客車
102年03月02日 09時12分,新北市林口區無名路前0.0公尺數無名路(口)北79縣道太平嶺(附近),1,1,自用-小客車;自用-大貨車
102年03月03日 07時18分,新北市板橋區縣民大道三段前0.0公尺數民生路(口),1,0,自用-小貨車;行人-人
102年03月03日 22時10分,新北市淡水區關渡橋道路前0.0公尺數往蘆洲機車專用道(附近),1,0,普通重型-機車
102年03月05日 06時22分,新北市林口區南勢街192巷前0.0公尺數對面(附近),1,0,普通重型-機車
